PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
52,126496576,46938433,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,10F6_lib_28,40.1908,32.8579,44.9334,42.7811,,,
53,126496577,53469924,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,103W_lib_28,47.8318,37.6942,51.5968,54.2045,,,
54,126496578,53469926,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC=CC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,1098_lib_28,79.161,91.2144,75.8428,70.4259,,,
55,126496579,53469928,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CN=CC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,109K_lib_28,72.0594,66.8101,63.0162,86.352,,,
56,126496580,53469930,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC=C(C=C4)C(F)(F)F)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,108Y_lib_28,70.9069,62.3483,71.6669,78.7055,,,
57,126496581,53469932,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CSC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,108B_lib_28,81.2176,66.7675,84.4001,92.4851,,,
58,126496582,53469934,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC(=C(C=C4)F)F)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,1099_lib_28,80.4364,67.0261,83.0962,91.1869,,,
59,126496583,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,Inactive,0,,1091_lib_28,107.181,106.141,103.943,111.459,,,
60,126496584,60854,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Inactive,0,,1070_lib_28,105.494,105.179,101.52,109.783,,,
61,126496585,53469936,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,117H_lib_27,80.9438,80.3926,82.894,79.5448,,,
62,126496586,53469938,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1185_lib_27,74.9431,66.0926,95.5285,63.2083,,,
63,126496587,53469940,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,T8X_lib_27,59.4266,68.0269,61.4588,48.7941,,,
64,126496588,53469942,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,T8L_lib_27,25.8497,35.5487,22.2881,19.7123,,,
65,126496589,53469944,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,11N1_lib_27,59.2992,73.0248,53.7249,51.1478,,,
66,126496590,53469946,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,11M1_lib_27,57.1076,69.6974,51.3765,50.249,,,
67,126496591,53469948,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,115V_lib_27,52.7215,56.0353,51.1808,50.9484,,,
68,126496592,53469950,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,115G_lib_27,69.8167,73.9335,72.5671,62.9494,,,
69,126496593,53469952,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1154_lib_27,78.4476,81.2973,75.744,78.3014,,,
70,126496594,53469954,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11XE_lib_27,7.27548,5.77904,10.9155,5.13188,,,
71,126496595,53469956,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,11X4_lib_27,14.9315,14.8381,14.4464,15.5101,,,
72,126496596,53469958,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,11WU_lib_27,23.5551,20.8825,28.6184,21.1644,,,
73,126496597,53469960,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,11WH_lib_27,4.80656,0.206766,0.931284,13.2816,,,
74,126496598,53469962,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,11V7_lib_27,0,0,0,0,,,
75,126496599,53469964,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,11VF_lib_27,26.1326,21.0774,35.4907,21.8298,,,
76,126496600,46939876,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,11RV_lib_27,49.6303,44.9318,46.8232,57.136,,,
77,126496601,53469965,CN1CN(C2(C1=O)CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5,Inactive,0,,11WX_lib_27,57.8542,47.2724,59.6443,66.6459,,,
78,126496602,46939580,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,TM9_lib_26,34.254,33.7593,38.2837,30.7189,,,
79,126496603,53469966,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,TP6_lib_26,23.9946,26.2566,26.0302,19.6968,,,
80,126496604,46939877,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,TLN_lib_26,46.8575,51.2913,48.0065,41.2746,,,
