PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
53,49822043,7711821,C[C@@H](C1=NN=C2N1C=CC=C2)NC(=O)CCCOC3=C(C=C(C=C3)Cl)Cl,Active,48,,,=,16.16,4.792,2,48,,=,16.16,4.792,0.526,0,100,13,45.366,19.5,19.5,13.271,26.679,9.224,3.614,9.955,11.671,11.315,45.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,125306234,53312447,CCC1=C(N=CN1CC2=CC(=CC=C2)C3=CC=CC=C3)C4CC4.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,11.5703,11.5703,11,22.206,19.5,19.5,11.454,9.787,11.345,5.556,7.179,18.233,2.04,22.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,47197418,23723583,CC1=CC2=C(C(=C1)Cl)OC(=C2C)C(=O)N(C)CCCCN3CCOCC3,Inactive,0,,,,,,1,0,,,,,,3.41899,3.41899,13,16.866,19.5,19.5,-15.242,-1.433,-2.092,10.11,14.087,,6.971,16.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,49675707,2458884,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NC3=CC=C(C=C3)C(=O)NCC(=O)O,Inactive,0,,,,,,1,0,,,,,,-0.229892,-0.229892,11,11.874,19.5,19.5,6.209,,-9.852,0.235,-6.993,-6.451,-9.418,11.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,49734421,17406798,C1CN(CCN1C(=O)C2=CC(=NN2)C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,9.18966,9.18966,10,34.218,0.16,19.5,34.218,6.16,12.804,,6.946,3.695,-6.405,8.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,22415170,2922808,C1=CC(=C(C=C1Br)Cl)OCCCN2C=CN=C2,Inactive,0,,,,,,1,0,,,,,,-2.66666,-2.66666,14,18.148,0.6,19.5,8.804,2.273,18.148,-0.379,-8.763,-5.028,-11.56,-13.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,124755191,53301036,COC(=O)[C@]12CCCCC=C1N(C(=O)[C@@H](C2)CC(=O)NCC#C)CC3=CC=CC4=CC=CC=C43,Inactive,0,,,,,,1,0,,,,,,3.63575,3.63575,14,27.152,0.3,19.5,-11.033,27.152,25.031,5.701,11.142,-0.44,-15.439,-8.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,49713833,135693588,CCN1[C@@H]([C@H]([C@@H](NC1=NCCC2=CNC3=CC=CC=C32)C4=CC=CC=C4)C(=O)OC)C,Inactive,0,,,,,,1,0,,,,,,-3.2173,-3.2173,15,26.718,0.16,19.5,26.718,-2.623,3.64,-20.201,-6.529,-11.484,-17.078,-6.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,17508170,1124638,C1CCC(CC1)CSC2=NN=C(O2)COC3=CC=C(C=C3)Br,Inactive,0,,,,,,1,0,,,,,,-0.397839,-0.397839,13,14.398,0.3,19.5,3.147,14.398,3.657,-2.213,-4.138,-9.259,-9.211,1.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,125306534,53383807,CCOC(=O)[C@]12CCCC=C1N(C(=O)[C@@H](C2)CC(=O)NCC3=CC=CS3)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-2.41574,-2.41574,10,-11.308,2.6,10,6.837,0.698,-3.735,,-11.308,-10.186,-0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,49713951,24789331,C1=CC=C2C(=C1)C(=CN2)CCN3C=C(N=N3)CCCCCCCCC(=O)O,Inactive,0,,,,,,1,0,,,,,,4.35511,4.35511,12,26.831,2.6,19.5,-10.055,-12.871,3.147,13.197,26.831,,8.581,5.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,26732683,16746629,CC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)N[C@@H](C)C(=O)OC(C)(C)C,Inactive,0,,,,,,1,0,,,,,,13.6266,13.6266,12,50.225,0.16,19.5,50.225,24.355,17.523,10.248,-2.505,3.709,,2.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,57256285,16247383,C1C[C@H](N(C1)S(=O)(=O)C2=CC=CC=C2F)C(=O)OCC(=O)N3CCC4=CC=CC=C43,Inactive,0,,,,,,1,0,,>,19.5,4.71,4,0,100,13,29.038,19.5,19.5,-12.961,-10.089,4.829,-7.034,-0.022,7.307,-3.35,29.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,17508831,594742,C1COCCN1C(=S)SCCN2CC3=CC=CC=C3C2=O,Inactive,0,,,,,,1,0,,,,,,1.32476,1.32476,12,10.703,0.3,19.5,6.95,10.703,3.757,-6.742,-5.564,,6.658,-2.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,51087830,4520935,CC(C)(C1=NC2=CC=CC=C2S1)NC(=O)C3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,1.65535,1.65535,12,19.856,10,19.5,-3.522,0.037,-3.559,-8.328,-3.447,10.949,19.856,4.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,121285795,51361117,CCCCCNC(=O)C1=C(N=C(N1)C(F)(F)F)C2=CC=CC=C2,Inactive,0,,,,,,1,0,,>,19.5,4.71,0.869,0,100,13,20.872,19.5,19.5,2.118,,-4.905,6.816,-3.413,12.263,15.177,20.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,99358081,43267,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCOCC2,Inactive,0,,,,,,1,0,,,,,,-13.3148,-13.3148,14,-20.733,10,19.5,-16.154,-5.803,-12.642,-0.199,-16.878,-13.397,-20.733,-14.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,24813473,15989583,COC1=C(C=C(C=C1)NC(=O)C2CCC(CC2)CNS(=O)(=O)C3=CC=CS3)OC,Inactive,0,,,,,,1,0,,,,,,4.32407,4.32407,13,-20.965,10,19.5,-4.866,12.548,1.058,13.095,11.488,10.32,-20.965,1.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,57267223,9262494,COC1=CC=CC=C1CNC(=O)CCCN2C(=O)C3(CCCC3)NC2=O,Inactive,0,,,,,,1,0,,,,,,-0.229107,-0.229107,12,-24.959,0.3,19.5,-7.323,-24.959,,-2.075,-10.01,11.833,10.952,15.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,99356611,46902527,COC1=CC=C(C=C1)[C@H]2C[C@H]([C@@H](CN2CC3=CC=CS3)O)N4C=C(N=N4)C5CC5,Inactive,0,,,,,,1,0,,,,,,1.49712,1.49712,11,9.977,0.6,10,-6.576,-7.559,9.977,6.645,,1.043,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,89856019,225046,C1CN=C(N1)CC2=CC=C(C=C2)N.OS(=O)(=O)O,Inactive,0,,,,,,1,0,,,,,,-3.25923,-3.25923,12,-11.816,0.3,19.5,1.7,-11.816,-1.84,,-8.693,-1.961,-5.411,3.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,134214379,56588037,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC=CC=C4F.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,3.37822,3.37822,15,7.875,0.16,19.5,7.875,3.917,3.407,6.409,2.808,1.574,-0.588,-0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,125306427,16740829,C1=CC=C(C=C1)C2=C(N3C=CC=NC3=N2)N,Inactive,0,,,,,,1,0,,,,,,6.11373,6.11373,11,11.899,10,19.5,8.974,,-7.748,6.223,2.363,6.707,11.899,8.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,134214428,51049862,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CCCOC4=CC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,1,0,,,,,,3.73101,3.73101,13,17.346,0.16,19.5,17.346,10.792,16.794,9.005,0.339,-8.591,-6.014,-4.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,134214859,56588265,C1CCC(CC1)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O,Inactive,0,,,,,,1,0,,,,,,16.3449,16.3449,13,27.324,2.6,19.5,18.288,-5.745,5.557,26.986,27.324,26.37,25.191,10.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,57263261,2455967,CCCCN(C1=CC=CC=C1)C(=O)C2=CC3=C(C=C2)SCC(=O)N3,Inactive,0,,,,,,1,0,,,,,,2.84595,2.84595,11,35.723,0.16,19.5,35.723,,6.243,4.479,-4.957,4.167,-3.86,-8.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,56462915,24856308,CC1CCC(CC1)CN2CCN=C2NC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,13.5301,13.5301,12,26.614,19.5,19.5,8.725,18.082,7.889,8.695,8.435,14.105,11.677,26.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,47196350,731924,CCC1=NC(=NN1)SCC2=CC=CC=C2C,Inactive,0,,,,,,1,0,,,,,,4.89415,4.89415,13,19.965,0.16,19.5,19.965,0.093,11.513,-11.078,1.14,5.506,9.894,-4.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,49668162,24761308,CC(C)C[C@@H](COC1=CC=CC=C1)N2CCN(CCC2=O)CC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,0.212374,0.212374,16,28.851,0.3,19.5,5.112,28.851,4.714,18.199,-18.624,-13.327,-12.36,-10.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,49713869,23731393,C1C[C@H](O[C@H]1CN2C=C(N=N2)CCCCl)[C@@H]3CC[C@@H](O3)CN4C=C(N=N4)CCCCl,Inactive,0,,,,,,1,0,,,,,,10.1832,10.1832,12,27.066,1.2,19.5,17.97,,15.375,27.066,20.757,6.718,4.084,-9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,26729869,2809628,CC1=CSC(=C1C2=NC3=CC=CC=C3S2)NC(=O)C,Inactive,0,,,,,,1,0,,,,,,10.839,10.839,12,25.377,19.5,19.5,3.14,9.753,10.241,-4.72,15.776,19.726,,25.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,24818591,1471775,C1COCCN1C2=NC(=NC(=C2)CS(=O)(=O)C3=CC=CC=C3)C4=CC=CC=N4,Inactive,0,,,,,,1,0,,,,,,-0.487317,-0.487317,12,24.98,0.3,19.5,14.551,24.98,,12.867,5.705,-17.246,-5.567,-19.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,85146806,44142662,CN1C2=C(C=C(C=C2)C3=CC=NN3)C(=C1C4=CC(=CC(=C4)OC)OC)C5=CC=CS5,Inactive,0,,,,,,1,0,,,,,,10.3114,10.3114,13,21.176,19.5,19.5,19.534,10.315,8.261,2.762,,3.957,5.15,21.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,93576918,23679071,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.O.[Na+],Inactive,0,,,,,,1,0,,,,,,13.339,13.339,10,26.446,1.2,19.5,11.456,16.755,19.215,26.446,17.067,17.487,-0.11,-3.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,22410352,4880860,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CCOC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,-3.57347,-3.57347,10,-13.588,19.5,19.5,3.865,5.542,2.392,-6.806,-0.226,-6.55,,-13.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,103158938,49792281,CC(=O)NC1=NC(=CN=C1)C2=CC=CC=C2OC,Inactive,0,,,,,,1,0,,,,,,4.01199,4.01199,13,12.014,0.16,19.5,12.014,2.745,2.92,5.411,11.622,3.053,-3.278,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,56314899,24978690,CN(CC(=O)NC1=CC(=CC=C1)F)C(=O)C2=CC=CC=C2CCC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,5.39661,5.39661,14,22.846,0.3,19.5,5.477,22.846,15.866,10.339,11.159,1.776,-9.942,-11.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,49640938,892262,CC1=C(C=C(C=C1)NC(=O)C2CCN(CC2)S(=O)(=O)C)Cl,Inactive,0,,,,,,1,0,,,,,,17.4003,17.4003,11,44.093,1.2,19.5,-14.45,-2.502,28.36,44.093,,22.457,23.136,20.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,49721886,8075581,CS(=O)(=O)N1CCC2=C1C=CC(=C2)C(=O)N3CCN(CC3)C4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,14.7841,14.7841,12,41.104,0.16,19.5,41.104,12.302,13.911,8.927,-1.649,10.935,5.136,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,103060103,3220860,CC1=CC(=CC=C1)C(=O)NC2CCN(CC2)CC(=O)NC3=CC(=CC=C3)Cl,Inactive,0,,,,,,1,0,,,,,,10.997,10.997,11,18.903,0.6,19.5,14.958,8.014,18.903,1.484,9.908,13.111,10.796,11.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,57257488,7997510,CC1=CC(=C(C(=C1)C)OCC(=O)OCC(=O)N2CCN(CC2)C(=O)C)C,Active,49,,,=,11.73,4.931,2,49,,=,11.73,4.931,0.605,0,100,12,56.871,10,19.5,-18.157,14.695,13.597,,8.596,13.885,56.871,29.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,49668581,754512,COC1=CC(=CC(=C1)C(=O)NCC2=CC3=C(C=C2)OCO3)OC,Inactive,0,,,,,,1,0,,,,,,7.933,7.933,12,20.994,0.6,19.5,14.503,7.477,20.994,6.306,5.341,20.113,6.18,-6.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,49827405,1257091,COC1=CC(=C(C=C1)OC)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4CCCC4,Inactive,0,,,,,,1,0,,,,,,-5.321,-5.321,14,-28.942,19.5,19.5,9.698,14.234,-0.731,4.271,-10.088,-10.379,-13.238,-28.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4257430,2971855,CS(=O)(=O)NCC1=CC=C(C=C1)C(=O)NCCOC2=CC=CC=C2,Inactive,0,,,,,,1,0,,,,,,10.8372,10.8372,10,20.687,2.6,19.5,,10.691,8.527,0.966,20.687,11.453,20.654,-5.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,49641282,759619,CCCC(=O)NC1=CC2=NN(N=C2C=C1)C3=CC=C(C=C3)OC,Inactive,0,,,,,,1,0,,,,,,9.1042,9.1042,10,26.024,1.2,19.5,18.61,9.844,7.632,26.024,,4.488,25.431,-9.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,47202095,2265071,CC(C)(C)NC(=O)C1=CC(=CC=C1)NC(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C(C)(C)C,Inactive,0,,,,,,1,0,,,,,,9.85528,9.85528,11,34.402,0.16,19.5,34.402,9.344,11.848,4.478,,8.082,-2.329,8.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14728820,6096216,C1=CC=C(C(=C1)C2=CC(=O)C3=C(O2)C=CC(=C3O)N)Cl,Inactive,0,,,,,,1,0,,,,,,9.16536,9.16536,14,37.274,0.3,19.5,25.818,37.274,19.821,16.146,4.753,-11.193,-8.052,0.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,56314825,637796,C/C=C/C1=CC2=C(C=C1)OCO2,Inactive,0,,,,,,1,0,,,,,,12.8719,12.8719,12,31.851,0.6,19.5,28.409,,31.851,19.465,0.528,-1.823,6.307,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,85270914,2364036,CC(C)N(CC1=CC=CC=C1)C(=O)COC(=O)C2=CC(=C(N=C2)Cl)Cl,Inactive,0,,,,,,1,0,,,,,,8.35195,8.35195,12,43.371,10,19.5,11.629,34.59,24.125,-10.639,-10.227,-5.836,43.371,-6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,85271181,2356140,CC1CCN(CC1)C(=O)COC(=O)C2=CC3=CC=CC=C3OC2=O,Inactive,0,,,,,,1,0,,>,19.5,4.71,1.202,0,100,12,29.416,19.5,19.5,-0.677,,11.307,7.788,2.157,8.628,9.043,29.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,47196592,2935726,COC1=C(C=CC(=C1)CC=C)OCCCNCC2=CC=CC=C2.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,5.53875,5.53875,12,27.933,0.16,19.5,27.933,3.8,-9.187,-9.485,-8.205,9.593,22.652,-3.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,17506021,135470924,CC1=C(C(=O)NC(=N1)C)CC(=O)N/N=C/C2=CC=C(C=C2)O,Inactive,0,,,,,,1,0,,,,,,-0.333002,-0.333002,12,-17.02,19.5,19.5,3.259,14.86,7.44,8.238,-12.13,-0.622,-9.049,-17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,57263310,16283715,CC(C)(C)N(CC1=CC=CC=C1)C(=O)COC(=O)C2CCN(CC2)C3=NC=C(C=C3)C(F)(F)F,Inactive,0,,,,,,1,0,,,,,,-9.28915,-9.28915,10,-23.12,0.3,19.5,-12.71,-23.12,,1.69,-8.773,-6.952,-6.851,-7.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,56314917,24978702,CCN1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)Cl)C(=O)N(C)CCOC3=CC=C(C=C3)Cl,Inactive,0,,,,,,1,0,,,,,,6.27918,6.27918,13,17.665,0.16,19.5,17.665,11.035,3.149,15.022,2.762,2.147,-7.42,-11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,103073545,17223911,C1CC2=CC=CC=C2N(C1)C(=O)C3CCN(CC3)C(=O)C4=CC=C(C=C4)F,Inactive,0,,,,,,1,0,,>,19.5,4.71,0.708,0,100,13,18.106,19.5,19.5,-9.827,5.143,-4.609,14.335,12.463,-3.309,7.419,18.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,103050827,49778547,C1COCCN1C2=CC=C(C=C2)C3=CC=CC4=NN=CN43,Inactive,0,,,,,,1,0,,,,,,5.81057,5.81057,13,20.994,0.16,19.5,20.994,16.755,0.847,2.32,9.305,1.458,-4.713,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,85270494,135706163,CN(CC1=NC2=CC=CC=C2C(=O)N1)C(=O)C3=CC(=CC=C3)S(=O)(=O)N4CCC5=CC=CC=C54,Inactive,0,,,,,,1,0,,,,,,-0.865649,-0.865649,15,21.569,0.3,19.5,-6.538,21.569,18.724,2.647,-11.156,-9.583,-10.166,-17.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,99454400,4796690,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)C(=O)OCCOC3=CC=CC=C3C,Inactive,0,,,,,,1,0,,,,,,23.4567,23.4567,12,29.294,5,19.5,24.078,27.871,20.246,,23.516,29.294,20.045,19.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,49817378,1745223,CC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)N3CCC(CC3)(C4=CC=CC=C4)C(=O)O,Inactive,0,,,,,,1,0,,,,,,1.94889,1.94889,13,8.063,0.6,19.5,-3.423,3.606,8.063,-0.243,,3.615,4.52,-3.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,17509502,12004853,COC(=O)C1=CC2=C(N1CC3=CC=CC=C3F)SC=C2,Inactive,0,,,,,,1,0,,,,,,-1.70719,-1.70719,12,10.115,2.6,19.5,4.898,-3.187,-3.536,1.054,10.115,6.483,-9.485,-9.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,49717094,16001642,CC1=C(SC2=C1C(=O)N(C=N2)CC(=O)N3CCOCC3)C(=O)NC4=CC=CC=C4F,Inactive,0,,,,,,1,0,,,,,,-0.796215,-0.796215,12,-9.553,1.2,19.5,0.61,-6.596,1.952,-9.553,3.601,4.527,-1.133,-2.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,49724385,2987697,C1=CC=C(C(=C1)C(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,1,0,,,,,,-6.03897,-6.03897,12,-25.571,2.6,19.5,6.52,10.033,-4.361,-15.158,-25.571,-23.573,-6.406,-2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,99360820,100271,CN1C(=C(C(=O)N(C1=O)C)C(=O)N2CCN(CC2)C3=CC=CC=C3)N,Inactive,0,,,,,,1,0,,,,,,14.5208,14.5208,10,51.55,0.16,19.5,51.55,12.262,15.522,,,7.276,23.409,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,22401016,4188525,COC1=C(C=C(C=C1)NC(=O)C2=C(C=CC=C2F)F)S(=O)(=O)NC3=CC=C(C=C3)Br,Inactive,0,,,,,,1,0,,,,,,20.1518,20.1518,12,51.9,1.2,19.5,10.557,27.552,28.187,51.9,15.157,7.525,12.938,10.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,22408960,2410672,CCOC(=O)C1=C(C(=C(N1)C)C(=O)OCC(=O)N2CC(=O)NC3=CC=CC=C32)C,Inactive,0,,,,,,1,0,,,,,,2.35423,2.35423,10,-10.701,0.3,10,-3.425,-10.701,5.741,-0.7,7.328,1.859,7.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,49714434,24789489,CC(C)(C)OC(=O)N1CCC(CC1)NC(=O)C2=C(NC=N2)C(=O)NCC(=O)OCC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,-0.659171,-0.659171,13,29.861,10,19.5,-14.465,-10.489,-10.843,-1.042,16.719,-3.673,29.861,-1.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
