PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
92,104180087,,,Inactive,,,DRSC00295,,,,,,,,,2.5,5.21,,,,,5.99,9.53,,,,,6212,6243,,,,,326174
93,104180088,,,Inactive,,,DRSC00296,,,,,,,,,2.81,3.12,,,,,7,5.14,,,,,6486,5742,,,,,33330
94,104180089,,,Inactive,,,DRSC00297,,,,,,,,,0.27,2.47,,,,,31.41,4.25,,,,,366,6362,,,,,33394
95,104180090,,,Inactive,,,DRSC00298,,,,,,,,,2.53,4.5,,,,,7.75,8.44,,,,,6518,6533,,,,,318891
96,104180091,,,Inactive,,,DRSC00299,,,,,,,,,7.59,7.28,,,,,38.45,29.86,,,,,5833,5635,,,,,33398
97,104180092,,,Inactive,,,DRSC00300,,,,,,,,,5.91,3.64,,,,,37.29,18.46,,,,,5823,6095,,,,,33409
98,104180093,,,Inactive,,,DRSC00301,,,,,,,,,1.19,8.18,,,,,22.21,33.52,,,,,5949,6531,,,,,33369
99,104180094,,,Inactive,,,DRSC00302,,,,,,,,,11.22,7.6,,,,,38.67,14.53,,,,,6659,6935,,,,,33155
100,104180095,,,Inactive,,,DRSC00303,,,,,,,,,4.96,1.12,,,,,14.05,2.23,,,,,6389,6783,,,,,
101,104180096,,,Inactive,,,DRSC00304,,,,,,,,,4.94,2.79,4.13,18.1,,,41.35,9.7,2.44,95.67,,,6113,6770,6317,5424,,,33277
102,104180097,,,Inactive,,,DRSC00305,,,,,,,,,1.76,3.58,,,,,7.22,7.5,,,,,6578,6585,,,,,33162
103,104180098,,,Inactive,,,DRSC00306,,,,,,,,,3.24,3.57,,,,,10.24,8.33,,,,,6210,6582,,,,,33163
104,104180099,,,Inactive,,,DRSC00307,DF,Common,347,21,693,2,High,0.00576369,22.55,34.9,,,,,97.61,92.5,,,,,4957,5232,,,,,33165
105,104180100,,,Inactive,,,DRSC00308,,,,,,,,,14.6,20.13,,,,,40.21,35.5,,,,,6575,6255,,,,,33166
106,104180101,,,Inactive,,,DRSC00309,,,,,,,,,3.18,1.44,,,,,10.38,3.25,,,,,6443,7275,,,,,45339
107,104180102,,,Inactive,,,DRSC00310,,,,,,,,,13.69,4.34,,,,,82.55,20.35,,,,,5809,1473,,,,,33175
108,104180103,,,Inactive,,,DRSC00311,,,,,,,,,6.12,7.93,,,,,26.12,56.49,,,,,5429,5158,,,,,33179
109,104180104,,,Inactive,,,DRSC00312,DF,Unique,347,21,678,17,High,0.0489914,17.65,23.86,,,,,84.42,81.79,,,,,4822,4731,,,,,33182
110,104180105,,,Inactive,,,DRSC00313,,,,,,,,,4.33,4.53,,,,,25.43,10.92,,,,,5975,5826,,,,,33184
111,104180107,,,Inactive,,,DRSC00315,,,,,,,,,7.4,5.81,,,,,20.21,11.29,,,,,6730,6985,,,,,"33194,33193"
112,104180108,,,Inactive,,,DRSC00316,,,,,,,,,14.11,16.74,,,,,40.43,35.53,,,,,6349,6800,,,,,33200
113,104180109,,,Inactive,,,DRSC00317,,,,,,,,,20.36,4.01,,,,,57.19,5.55,,,,,6312,6840,,,,,33199
114,104180110,,,Inactive,,,DRSC00318,,,,,,,,,10.48,1.86,,,,,32.41,2.94,,,,,6411,6985,,,,,33197
115,104180111,,,Inactive,,,DRSC00319,,,,,,,,,2.93,2.55,,,,,15.35,14.7,,,,,5936,5835,,,,,33194
116,104180112,,,Inactive,,,DRSC00320,,,,,,,,,2.66,22.16,,,,,9.58,61.34,,,,,5946,5054,,,,,44392
117,104180113,,,Inactive,,,DRSC00321,,,,,,,,,4.82,1.35,,,,,12.81,2.89,,,,,6369,6750,,,,,33183
118,104180114,,,Inactive,,,DRSC00322,,,,,,,,,3.4,1.8,,,,,11.44,3.97,,,,,6743,7166,,,,,33176
119,104180115,,,Inactive,,,DRSC00323,,,,,,,,,2.62,4.98,,,,,8.97,6.82,,,,,6413,6812,,,,,"319052,326181"
120,104180116,,,Inactive,,,DRSC00324,,,,,,,,,12.66,8.34,,,,,65.58,31.84,,,,,5488,5286,,,,,33388
121,104180117,,,Inactive,,,DRSC00325,,,,,,,,,3.04,1.22,,,,,14.11,3.85,,,,,6191,6537,,,,,33228
122,104180118,,,Inactive,,,DRSC00326,,,,,,,,,11.7,4.02,,,,,30.98,7.23,,,,,6648,6821,,,,,33232
123,104180119,,,Inactive,,,DRSC00327,,,,,,,,,20.87,11.04,,,,,46.74,20.85,,,,,4135,6730,,,,,33230
124,104180120,,,Inactive,,,DRSC00328,DF,Common,347,21,14,13,Low,0.037464,0.92,0.53,,,,,5.98,1.37,,,,,6110,6612,,,,,33227
125,104180121,,,Inactive,,,DRSC00329,,,,,,,,,5.59,12.67,,,,,1.9,90.93,,,,,5940,5532,,,,,33215
126,104180122,,,Inactive,,,DRSC00330,,,,,,,,,3.89,2.62,,,,,20.35,8.13,,,,,6036,6525,,,,,33207
127,104180123,,,Inactive,,,DRSC00331,,,,,,,,,8.93,3.96,,,,,58.45,14.25,,,,,5837,6614,,,,,33206
128,104180124,,,Inactive,,,DRSC00332,,,,,,,,,7.72,1.23,,,,,69.86,4.43,,,,,4596,6761,,,,,33205
129,104180125,,,Inactive,,,DRSC00333,,,,,,,,,,,,,,,20.54,18.73,,,,,509,533,,,,,249663
