PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
86,126496610,46938429,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,T82_lib_26,78.5247,71.5742,73.7129,90.287
87,126496611,46938540,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,T84_lib_26,55.6763,47.8327,55.76,63.4364
88,126496612,53469972,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,T8P_lib_26,82.9433,74.2682,82.2541,92.3076
89,126496613,53469974,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,T8N_lib_26,84.5697,72.2992,87.1201,94.2899
90,126496614,53469976,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,T81_lib_26,102.642,91.0054,110.775,106.145
91,126496615,53469978,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,T8D_lib_26,69.6141,61.3662,72.4419,75.0343
92,126496616,53469980,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,100,,M2Q_lib_25,33.965,28.8002,35.4436,37.6513
93,126496617,53469982,COC1=CC=CC(=N1)C(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O.C(=O)(C(F)(F)F)O,Active,100,,M3D_lib_25,39.697,37.6842,36.3898,45.0171
94,126496618,53469984,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC(=CC=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,M3R_lib_25,37.8287,34.8636,41.5087,37.1136
95,126496619,53469986,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC=C(O4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,M42_lib_25,38.6518,35.1342,39.4133,41.4081
