bit,active_count,inactive_count,P_active,P_inactive,enrichment,log_odds
1706,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
568,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
365,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
1534,6,8,0.0024958402662229617,0.0030546009927453228,0.8170757131432259,-0.20202351627000087
316,6,8,0.0024958402662229617,0.0030546009927453228,0.8170757131432259,-0.20202351627000087
517,6,8,0.0024958402662229617,0.0030546009927453228,0.8170757131432259,-0.20202351627000087
1756,6,8,0.0024958402662229617,0.0030546009927453228,0.8170757131432259,-0.20202351627000087
1375,6,8,0.0024958402662229617,0.0030546009927453228,0.8170757131432259,-0.20202351627000087
1187,9,12,0.0037437603993344427,0.004581901489117984,0.8170757111470648,-0.20202351871305613
331,9,12,0.0037437603993344427,0.004581901489117984,0.8170757111470648,-0.20202351871305613
479,9,12,0.0037437603993344427,0.004581901489117984,0.8170757111470648,-0.20202351871305613
65,18,24,0.0074875207986688855,0.009163802978235968,0.8170757091509034,-0.2020235211561117
1477,18,24,0.0074875207986688855,0.009163802978235968,0.8170757091509034,-0.2020235211561117
1199,974,1305,0.4051580698835274,0.49828178694158076,0.8131103333899653,-0.20688846721551749
875,1418,1903,0.5898502495840267,0.7266132111492937,0.8117802436730743,-0.20852561131955324
1737,58,78,0.024126455906821963,0.029782359679266894,0.8100921547397896,-0.21060726650342343
490,84,113,0.03494176372712146,0.043146239022527684,0.8098449491250682,-0.21091247047220776
1980,277,373,0.11522462562396006,0.14242077128675068,0.8090436851452086,-0.21190236443813826
1256,23,31,0.00956738768718802,0.011836578846888126,0.8082899484823963,-0.2128344376995961
794,132,178,0.05490848585690516,0.06796487208858343,0.8078950815143084,-0.21332307850323667
315,20,27,0.008319467554076539,0.010309278350515464,0.8069883546176372,-0.2144460412777245
1975,20,27,0.008319467554076539,0.010309278350515464,0.8069883546176372,-0.2144460412777245
281,77,104,0.032029950083194675,0.039709812905689194,0.8066003780628674,-0.21492692783126646
726,37,50,0.015391014975041598,0.019091256204658267,0.8061813654079008,-0.21544654267201077
790,74,100,0.030782029950083195,0.038182512409316534,0.8061813649002899,-0.21544654330165922
1189,25,34,0.010399334442595673,0.012982054219167621,0.8010546163900548,-0.2218261489822882
1220,25,34,0.010399334442595673,0.012982054219167621,0.8010546163900548,-0.2218261489822882
990,11,15,0.004575707154742097,0.0057273768613974796,0.7989184727288536,-0.2244963750566803
298,11,15,0.004575707154742097,0.0057273768613974796,0.7989184727288536,-0.2244963750566803
1087,60,82,0.024958402662229616,0.031309660175639555,0.7971470320183727,-0.2267161353767745
524,46,63,0.01913477537437604,0.024054982817869417,0.7954599485565061,-0.22883477998087992
214,35,48,0.014559068219633943,0.018327605956471937,0.7943791608556956,-0.2301943991535423
523,35,48,0.014559068219633943,0.018327605956471937,0.7943791608556956,-0.2301943991535423
403,8,11,0.0033277870216306157,0.004200076365024819,0.792315842185733,-0.23279517602501199
376,8,11,0.0033277870216306157,0.004200076365024819,0.792315842185733,-0.23279517602501199
1590,8,11,0.0033277870216306157,0.004200076365024819,0.792315842185733,-0.23279517602501199
100,16,22,0.0066555740432612314,0.008400152730049638,0.7923158397133475,-0.23279517914546646
8,16,22,0.0066555740432612314,0.008400152730049638,0.7923158397133475,-0.23279517914546646
167,48,66,0.019966722129783693,0.025200458190148912,0.7923158380650905,-0.23279518122576942
82,85,117,0.035357737104825294,0.044673539518900345,0.7914693464286463,-0.2338641288650522
638,77,106,0.032029950083194675,0.040473463153875525,0.7913815030426796,-0.23397512275444637
350,228,314,0.09484193011647254,0.11989308896525391,0.7910541879928805,-0.23438880788088945
1077,157,217,0.06530782029950083,0.08285605192821688,0.7882082093081149,-0.23799299901524018
319,196,271,0.08153078202995008,0.1034746086292478,0.7879303254316616,-0.23834561253646008
1574,13,18,0.005407653910149751,0.006872852233676976,0.7868136470286502,-0.23976384763970654
199,26,36,0.010815307820299502,0.013745704467353952,0.7868136454777195,-0.23976384961086034
56,31,43,0.012895174708818636,0.016418480336006108,0.7854061074092593,-0.24155436069166136
329,62,86,0.025790349417637273,0.032836960672012215,0.7854061067557461,-0.24155436152373186
1778,41,57,0.017054908485856904,0.021764032073310423,0.7836281645811758,-0.2438206510089508
338,41,57,0.017054908485856904,0.021764032073310423,0.7836281645811758,-0.2438206510089508
198,28,39,0.011647254575707155,0.014891179839633447,0.7821579433546122,-0.24569858523149907
795,5,7,0.0020798668885191347,0.002672775868652157,0.7781673484470836,-0.2508136771028855
854,5,7,0.0020798668885191347,0.002672775868652157,0.7781673484470836,-0.2508136771028855
593,5,7,0.0020798668885191347,0.002672775868652157,0.7781673484470836,-0.2508136771028855
1857,5,7,0.0020798668885191347,0.002672775868652157,0.7781673484470836,-0.2508136771028855
1005,10,14,0.004159733777038269,0.005345551737304314,0.7781673442972286,-0.25081368243574226
384,15,21,0.006239600665557404,0.008018327605956471,0.7781673429139436,-0.2508136842133611
1701,20,28,0.008319467554076539,0.010691103474608629,0.778167342222301,-0.2508136851021707
835,67,94,0.027870216306156406,0.03589156166475754,0.776511665578247,-0.2529436132245347
1476,247,347,0.10274542429284526,0.13249331806032838,0.775476271705373,-0.25427789424774416
1089,22,31,0.009151414309484194,0.011836578846888126,0.7731469076113524,-0.2572861997953312
1160,533,752,0.22171381031613976,0.28713249331806034,0.772165517656436,-0.25855635082862094
895,34,48,0.014143094841930116,0.018327605956471937,0.7716826135585686,-0.2591819358247778
1385,548,775,0.22795341098169716,0.29591447117220315,0.7703354624789858,-0.26092919345196725
1991,403,570,0.16763727121464225,0.21764032073310424,0.7702491462654734,-0.2610412498922468
1313,41,58,0.017054908485856904,0.022145857197403588,0.7701173342183708,-0.2612123936416004
389,842,1192,0.3502495840266223,0.4551355479190531,0.7695500508608043,-0.2619492844645586
2005,12,17,0.004991680532445923,0.006491027109583811,0.7690124338218539,-0.26264814078815124
1433,12,17,0.004991680532445923,0.006491027109583811,0.7690124338218539,-0.26264814078815124
1564,93,132,0.03868552412645591,0.050400916380297825,0.7675559677883721,-0.26454387997964585
391,26,37,0.010815307820299502,0.014127529591447117,0.7655484119666829,-0.26716282360235316
1685,26,37,0.010815307820299502,0.014127529591447117,0.7655484119666829,-0.26716282360235316
1530,40,57,0.016638935108153077,0.021764032073310423,0.764515282630287,-0.268513263452737
1190,7,10,0.0029118136439267887,0.0038182512409316535,0.7626039995618272,-0.27101638693326174
1029,7,10,0.0029118136439267887,0.0038182512409316535,0.7626039995618272,-0.27101638693326174
992,30,43,0.012479201331114808,0.016418480336006108,0.7600704267215637,-0.2743441832561577
